[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
2,140.75,"{18, 5}",3,94.49999999999996,"{1, 14, 25}","{1, 18, 5, 25, 14}",145.49999999999994,3
3,145.75,"{18, 3, 5}",2,92.66666666666664,"{1, 14}","{1, 18, 3, 5, 14}",149.3333333333333,3
4,184.25,"{9, 18, 3, 5}",1,89.41666666666666,{14},"{18, 3, 5, 9, 14}",184.75000000000003,3
5,218.25,"{3, 5, 8, 9, 18}",0,88.25,set(),"{18, 3, 5, 8, 9}",218.25,3
0,92.20000000000034,set(),1,93.65000000000033,{14},{14},93.65000000000033,4
1,98.20000000000037,{18},0,92.20000000000034,set(),{18},98.20000000000037,4
0,92.20000000000034,set(),2,96.26666666666692,"{1, 14}","{1, 14}",96.26666666666692,4
1,98.20000000000037,{18},1,93.65000000000033,{14},"{18, 14}",99.65000000000033,4
2,160.40000000000006,"{18, 5}",0,92.20000000000034,set(),"{18, 5}",160.40000000000006,4
0,92.20000000000034,set(),3,98.30000000000022,"{1, 14, 25}","{1, 14, 25}",98.30000000000022,4
1,98.20000000000037,{18},2,96.26666666666692,"{1, 14}","{1, 18, 14}",102.21666666666692,4
2,160.40000000000006,"{18, 5}",1,93.65000000000033,{14},"{18, 5, 14}",160.85000000000005,4
3,166.6,"{18, 3, 5}",0,92.20000000000034,set(),"{18, 3, 5}",166.6,4
0,92.20000000000034,set(),4,101.15000000000022,"{1, 23, 14, 25}","{1, 23, 14, 25}",101.15000000000022,4
1,98.20000000000037,{18},3,98.30000000000022,"{1, 14, 25}","{1, 18, 14, 25}",104.15000000000023,4
2,160.40000000000006,"{18, 5}",2,96.26666666666692,"{1, 14}","{1, 18, 5, 14}",163.26666666666665,4
3,166.6,"{18, 3, 5}",1,93.65000000000033,{14},"{18, 3, 5, 14}",167.04999999999998,4
4,217.79999999999984,"{9, 18, 3, 5}",0,92.20000000000034,set(),"{9, 18, 3, 5}",217.79999999999984,4
0,92.20000000000034,set(),5,107.7000000000001,"{1, 14, 22, 23, 25}","{1, 22, 23, 25, 14}",107.7000000000001,4
1,98.20000000000037,{18},4,101.15000000000022,"{1, 23, 14, 25}","{1, 18, 23, 25, 14}",106.68333333333355,4
2,160.40000000000006,"{18, 5}",3,98.30000000000022,"{1, 14, 25}","{1, 18, 5, 25, 14}",164.65,4
3,166.6,"{18, 3, 5}",2,96.26666666666692,"{1, 14}","{1, 18, 3, 5, 14}",169.46666666666664,4
4,217.79999999999984,"{9, 18, 3, 5}",1,93.65000000000033,{14},"{18, 3, 5, 9, 14}",218.09999999999985,4
5,245.39999999999986,"{3, 5, 8, 9, 18}",0,92.20000000000034,set(),"{18, 3, 5, 8, 9}",245.39999999999986,4
0,94.33333333333329,set(),1,96.06666666666666,{14},{14},96.06666666666666,5
1,101.66666666666666,{18},0,94.33333333333329,set(),{18},101.66666666666666,5
0,94.33333333333329,set(),2,98.0333333333334,"{1, 14}","{1, 14}",98.0333333333334,5
1,101.66666666666666,{18},1,96.06666666666666,{14},"{18, 14}",103.40000000000005,5
2,184.50000000000003,"{18, 5}",0,94.33333333333329,set(),"{18, 5}",184.50000000000003,5
0,94.33333333333329,set(),3,100.23333333333343,"{1, 14, 25}","{1, 14, 25}",100.23333333333343,5
1,101.66666666666666,{18},2,98.0333333333334,"{1, 14}","{1, 18, 14}",105.33333333333343,5
2,184.50000000000003,"{18, 5}",1,96.06666666666666,{14},"{18, 5, 14}",184.83333333333337,5
3,190.5,"{18, 3, 5}",0,94.33333333333329,set(),"{18, 3, 5}",190.5,5
0,94.33333333333329,set(),4,103.01666666666675,"{1, 23, 14, 25}","{1, 23, 14, 25}",103.01666666666675,5
1,101.66666666666666,{18},3,100.23333333333343,"{1, 14, 25}","{1, 18, 14, 25}",107.43333333333345,5
2,184.50000000000003,"{18, 5}",2,98.0333333333334,"{1, 14}","{1, 18, 5, 14}",186.56666666666666,5
3,190.5,"{18, 3, 5}",1,96.06666666666666,{14},"{18, 3, 5, 14}",190.83333333333334,5
4,244.83333333333331,"{9, 18, 3, 5}",0,94.33333333333329,set(),"{9, 18, 3, 5}",244.83333333333331,5
0,94.33333333333329,set(),5,108.50000000000001,"{1, 14, 22, 23, 25}","{1, 22, 23, 25, 14}",108.50000000000001,5
1,101.66666666666666,{18},4,103.01666666666675,"{1, 23, 14, 25}","{1, 18, 23, 25, 14}",109.78333333333343,5
2,184.50000000000003,"{18, 5}",3,100.23333333333343,"{1, 14, 25}","{1, 18, 5, 25, 14}",187.53333333333333,5
3,190.5,"{18, 3, 5}",2,98.0333333333334,"{1, 14}","{1, 18, 3, 5, 14}",192.56666666666666,5
4,244.83333333333331,"{9, 18, 3, 5}",1,96.06666666666666,{14},"{18, 3, 5, 9, 14}",245.06666666666663,5
5,265.83333333333326,"{3, 5, 8, 9, 18}",0,94.33333333333329,set(),"{18, 3, 5, 8, 9}",265.83333333333326,5
0,94.14285714285727,set(),1,96.3571428571429,{14},{14},96.3571428571429,6
1,101.57142857142871,{18},0,94.14285714285727,set(),{18},101.57142857142871,6
0,94.14285714285727,set(),2,98.23333333333348,"{1, 14}","{1, 14}",98.23333333333348,6
1,101.57142857142871,{18},1,96.3571428571429,{14},"{18, 14}",103.78571428571435,6
2,195.99999999999974,"{18, 5}",0,94.14285714285727,set(),"{18, 5}",195.99999999999974,6
0,94.14285714285727,set(),3,100.76190476190486,"{1, 14, 25}","{1, 14, 25}",100.76190476190486,6
1,101.57142857142871,{18},2,98.23333333333348,"{1, 14}","{1, 18, 14}",105.63809523809539,6
2,195.99999999999974,"{18, 5}",1,96.3571428571429,{14},"{18, 5, 14}",196.23809523809499,6
3,202.14285714285685,"{18, 3, 5}",0,94.14285714285727,set(),"{18, 3, 5}",202.14285714285685,6
0,94.14285714285727,set(),4,103.79285714285726,"{1, 23, 14, 25}","{1, 23, 14, 25}",103.79285714285726,6
1,101.57142857142871,{18},3,100.76190476190486,"{1, 14, 25}","{1, 18, 14, 25}",108.04761904761914,6
2,195.99999999999974,"{18, 5}",2,98.23333333333348,"{1, 14}","{1, 18, 5, 14}",197.63809523809496,6
3,202.14285714285685,"{18, 3, 5}",1,96.3571428571429,{14},"{18, 3, 5, 14}",202.38095238095215,6
4,257.42857142857133,"{9, 18, 3, 5}",0,94.14285714285727,set(),"{9, 18, 3, 5}",257.42857142857133,6
0,94.14285714285727,set(),5,108.55238095238113,"{1, 14, 22, 23, 25}","{1, 22, 23, 25, 14}",108.55238095238113,6
1,101.57142857142871,{18},4,103.79285714285726,"{1, 23, 14, 25}","{1, 18, 23, 25, 14}",110.7166666666668,6
2,195.99999999999974,"{18, 5}",3,100.76190476190486,"{1, 14, 25}","{1, 18, 5, 25, 14}",198.51428571428545,6
3,202.14285714285685,"{18, 3, 5}",2,98.23333333333348,"{1, 14}","{1, 18, 3, 5, 14}",203.78095238095213,6
4,257.42857142857133,"{9, 18, 3, 5}",1,96.3571428571429,{14},"{18, 3, 5, 9, 14}",257.59523809523796,6
5,278.5714285714285,"{3, 5, 8, 9, 18}",0,94.14285714285727,set(),"{18, 3, 5, 8, 9}",278.5714285714285,6
0,96.25,set(),1,98.55357142857144,{14},{14},98.55357142857144,7
1,104.125,{18},0,96.25,set(),{18},104.125,7
0,96.25,set(),2,100.63690476190476,"{1, 14}","{1, 14}",100.63690476190476,7
1,104.125,{18},1,98.55357142857144,{14},"{18, 14}",106.35714285714288,7
2,206.875,"{18, 5}",0,96.25,set(),"{18, 5}",206.875,7
0,96.25,set(),3,103.202380952381,"{1, 14, 25}","{1, 14, 25}",103.202380952381,7
1,104.125,{18},2,100.63690476190476,"{1, 14}","{1, 18, 14}",108.42261904761904,7
2,206.875,"{18, 5}",1,98.55357142857144,{14},"{18, 5, 14}",206.99999999999997,7
3,213.875,"{18, 3, 5}",0,96.25,set(),"{18, 3, 5}",213.875,7
0,96.25,set(),4,106.3833333333334,"{1, 23, 14, 25}","{1, 23, 14, 25}",106.3833333333334,7
1,104.125,{18},3,103.202380952381,"{1, 14, 25}","{1, 18, 14, 25}",110.88095238095244,7
2,206.875,"{18, 5}",2,100.63690476190476,"{1, 14}","{1, 18, 5, 14}",208.27380952380938,7
3,213.875,"{18, 3, 5}",1,98.55357142857144,{14},"{18, 3, 5, 14}",213.99999999999997,7
4,273.75,"{9, 18, 3, 5}",0,96.25,set(),"{9, 18, 3, 5}",273.75,7
0,96.25,set(),5,110.76547619047628,"{1, 14, 22, 23, 25}","{1, 22, 23, 25, 14}",110.76547619047628,7
1,104.125,{18},4,106.3833333333334,"{1, 23, 14, 25}","{1, 18, 23, 25, 14}",113.69880952380959,7
2,206.875,"{18, 5}",3,103.202380952381,"{1, 14, 25}","{1, 18, 5, 25, 14}",208.91666666666652,7
3,213.875,"{18, 3, 5}",2,100.63690476190476,"{1, 14}","{1, 18, 3, 5, 14}",215.27380952380938,7
4,273.75,"{9, 18, 3, 5}",1,98.55357142857144,{14},"{18, 3, 5, 9, 14}",273.83928571428567,7
5,296.875,"{3, 5, 8, 9, 18}",0,96.25,set(),"{18, 3, 5, 8, 9}",296.875,7
0,98.00000000000011,set(),1,100.4583333333335,{14},{14},100.4583333333335,8
1,105.77777777777789,{18},0,98.00000000000011,set(),{18},105.77777777777789,8
0,98.00000000000011,set(),2,102.3253968253969,"{1, 14}","{1, 14}",102.3253968253969,8
1,105.77777777777789,{18},1,100.4583333333335,{14},"{18, 14}",108.09722222222237,8
2,216.88888888888926,"{18, 5}",0,98.00000000000011,set(),"{18, 5}",216.88888888888926,8
0,98.00000000000011,set(),3,104.96428571428571,"{1, 14, 25}","{1, 14, 25}",104.96428571428571,8
1,105.77777777777789,{18},2,102.3253968253969,"{1, 14}","{1, 18, 14}",109.95039682539687,8
2,216.88888888888926,"{18, 5}",1,100.4583333333335,{14},"{18, 5, 14}",217.0555555555559,8
3,222.4444444444448,"{18, 3, 5}",0,98.00000000000011,set(),"{18, 3, 5}",222.4444444444448,8
0,98.00000000000011,set(),4,108.2261904761905,"{1, 23, 14, 25}","{1, 23, 14, 25}",108.2261904761905,8
1,105.77777777777789,{18},3,104.96428571428571,"{1, 14, 25}","{1, 18, 14, 25}",112.46031746031747,8
2,216.88888888888926,"{18, 5}",2,102.3253968253969,"{1, 14}","{1, 18, 5, 14}",218.15674603174622,8
3,222.4444444444448,"{18, 3, 5}",1,100.4583333333335,{14},"{18, 3, 5, 14}",222.61111111111146,8
4,282.55555555555566,"{9, 18, 3, 5}",0,98.00000000000011,set(),"{9, 18, 3, 5}",282.55555555555566,8
0,98.00000000000011,set(),5,112.46428571428575,"{1, 14, 22, 23, 25}","{1, 22, 23, 25, 14}",112.46428571428575,8
1,105.77777777777789,{18},4,108.2261904761905,"{1, 23, 14, 25}","{1, 18, 23, 25, 14}",115.37500000000003,8
2,216.88888888888926,"{18, 5}",3,104.96428571428571,"{1, 14, 25}","{1, 18, 5, 25, 14}",218.73214285714297,8
3,222.4444444444448,"{18, 3, 5}",2,102.3253968253969,"{1, 14}","{1, 18, 3, 5, 14}",223.71230158730174,8
4,282.55555555555566,"{9, 18, 3, 5}",1,100.4583333333335,{14},"{18, 3, 5, 9, 14}",282.6805555555556,8
5,304.5555555555556,"{3, 5, 8, 9, 18}",0,98.00000000000011,set(),"{18, 3, 5, 8, 9}",304.5555555555556,8
0,96.99999999999999,set(),1,99.66666666666657,{14},{14},99.66666666666657,9
1,104.79999999999998,{18},0,96.99999999999999,set(),{18},104.79999999999998,9
0,96.99999999999999,set(),2,101.70277777777785,"{1, 14}","{1, 14}",101.70277777777785,9
1,104.79999999999998,{18},1,99.66666666666657,{14},"{18, 14}",107.35555555555544,9
2,226.9999999999998,"{18, 5}",0,96.99999999999999,set(),"{18, 5}",226.9999999999998,9
0,96.99999999999999,set(),3,104.11388888888897,"{1, 14, 25}","{1, 14, 25}",104.11388888888897,9
1,104.79999999999998,{18},2,101.70277777777785,"{1, 14}","{1, 18, 14}",109.3694444444445,9
2,226.9999999999998,"{18, 5}",1,99.66666666666657,{14},"{18, 5, 14}",227.12222222222204,9
3,232.7999999999998,"{18, 3, 5}",0,96.99999999999999,set(),"{18, 3, 5}",232.7999999999998,9
0,96.99999999999999,set(),4,107.42619047619053,"{1, 23, 14, 25}","{1, 23, 14, 25}",107.42619047619053,9
1,104.79999999999998,{18},3,104.11388888888897,"{1, 14, 25}","{1, 18, 14, 25}",111.65277777777786,9
2,226.9999999999998,"{18, 5}",2,101.70277777777785,"{1, 14}","{1, 18, 5, 14}",228.06944444444463,9
3,232.7999999999998,"{18, 3, 5}",1,99.66666666666657,{14},"{18, 3, 5, 14}",232.92222222222205,9
4,287.00000000000006,"{9, 18, 3, 5}",0,96.99999999999999,set(),"{9, 18, 3, 5}",287.00000000000006,9
0,96.99999999999999,set(),5,111.81706349206348,"{1, 14, 22, 23, 25}","{1, 22, 23, 25, 14}",111.81706349206348,9
1,104.79999999999998,{18},4,107.42619047619053,"{1, 23, 14, 25}","{1, 18, 23, 25, 14}",114.5793650793651,9
2,226.9999999999998,"{18, 5}",3,104.11388888888897,"{1, 14, 25}","{1, 18, 5, 25, 14}",228.48888888888905,9
3,232.7999999999998,"{18, 3, 5}",2,101.70277777777785,"{1, 14}","{1, 18, 3, 5, 14}",233.8472222222224,9
4,287.00000000000006,"{9, 18, 3, 5}",1,99.66666666666657,{14},"{18, 3, 5, 9, 14}",287.11111111111114,9
5,309.6,"{3, 5, 8, 9, 18}",0,96.99999999999999,set(),"{18, 3, 5, 8, 9}",309.6,9
