[k](T+),F(S+),S+,[K-k](T-),F(S-),S-,S+ U S-,F(S+ U S-),graphid
6,272.3333333333333,"{3, 5, 8, 9, 18, 31}",0,94.33333333333329,set(),"{18, 3, 5, 8, 9, 31}",272.3333333333333,5
0,94.14285714285727,set(),0,94.14285714285727,set(),set(),94.14285714285727,6
0,94.14285714285727,set(),2,98.23333333333348,"{1, 14}","{1, 14}",98.23333333333348,6
1,101.57142857142871,{18},1,96.3571428571429,{14},"{18, 14}",103.78571428571435,6
2,195.99999999999974,"{18, 5}",0,94.14285714285727,set(),"{18, 5}",195.99999999999974,6
0,94.14285714285727,set(),4,103.79285714285726,"{1, 23, 14, 25}","{1, 23, 14, 25}",103.79285714285726,6
1,101.57142857142871,{18},3,100.76190476190486,"{1, 14, 25}","{1, 18, 14, 25}",108.04761904761914,6
2,195.99999999999974,"{18, 5}",2,98.23333333333348,"{1, 14}","{1, 18, 5, 14}",197.63809523809496,6
3,202.14285714285685,"{18, 3, 5}",1,96.3571428571429,{14},"{18, 3, 5, 14}",202.38095238095215,6
4,257.42857142857133,"{9, 18, 3, 5}",0,94.14285714285727,set(),"{9, 18, 3, 5}",257.42857142857133,6
0,94.14285714285727,set(),6,110.15952380952402,"{1, 14, 15, 22, 23, 25}","{1, 22, 23, 25, 14, 15}",110.15952380952402,6
1,101.57142857142871,{18},5,108.55238095238113,"{1, 14, 22, 23, 25}","{1, 18, 22, 23, 25, 14}",115.47619047619064,6
2,195.99999999999974,"{18, 5}",4,103.79285714285726,"{1, 23, 14, 25}","{1, 18, 5, 23, 25, 14}",199.8309523809521,6
3,202.14285714285685,"{18, 3, 5}",3,100.76190476190486,"{1, 14, 25}","{1, 18, 3, 5, 25, 14}",204.65714285714265,6
4,257.42857142857133,"{9, 18, 3, 5}",2,98.23333333333348,"{1, 14}","{1, 18, 3, 5, 9, 14}",257.6666666666666,6
5,278.5714285714285,"{3, 5, 8, 9, 18}",1,96.3571428571429,{14},"{18, 3, 5, 8, 9, 14}",278.6428571428571,6
6,283.0,"{3, 5, 8, 9, 18, 31}",0,94.14285714285727,set(),"{18, 3, 5, 8, 9, 31}",283.0,6
0,96.25,set(),0,96.25,set(),set(),96.25,7
0,96.25,set(),2,100.63690476190476,"{1, 14}","{1, 14}",100.63690476190476,7
1,104.125,{18},1,98.55357142857144,{14},"{18, 14}",106.35714285714288,7
2,206.875,"{18, 5}",0,96.25,set(),"{18, 5}",206.875,7
0,96.25,set(),4,106.3833333333334,"{1, 23, 14, 25}","{1, 23, 14, 25}",106.3833333333334,7
1,104.125,{18},3,103.202380952381,"{1, 14, 25}","{1, 18, 14, 25}",110.88095238095244,7
2,206.875,"{18, 5}",2,100.63690476190476,"{1, 14}","{1, 18, 5, 14}",208.27380952380938,7
3,213.875,"{18, 3, 5}",1,98.55357142857144,{14},"{18, 3, 5, 14}",213.99999999999997,7
4,273.75,"{9, 18, 3, 5}",0,96.25,set(),"{9, 18, 3, 5}",273.75,7
0,96.25,set(),6,112.29642857142869,"{1, 14, 15, 22, 23, 25}","{1, 22, 23, 25, 14, 15}",112.29642857142869,7
1,104.125,{18},5,110.76547619047628,"{1, 14, 22, 23, 25}","{1, 18, 22, 23, 25, 14}",118.08095238095244,7
2,206.875,"{18, 5}",4,106.3833333333334,"{1, 23, 14, 25}","{1, 18, 5, 23, 25, 14}",209.88333333333313,7
3,213.875,"{18, 3, 5}",3,103.202380952381,"{1, 14, 25}","{1, 18, 3, 5, 25, 14}",215.86309523809507,7
4,273.75,"{9, 18, 3, 5}",2,100.63690476190476,"{1, 14}","{1, 18, 3, 5, 9, 14}",273.9107142857143,7
5,296.875,"{3, 5, 8, 9, 18}",1,98.55357142857144,{14},"{18, 3, 5, 8, 9, 14}",296.875,7
6,300.0,"{3, 5, 8, 9, 18, 31}",0,96.25,set(),"{18, 3, 5, 8, 9, 31}",300.0,7
0,98.00000000000011,set(),0,98.00000000000011,set(),set(),98.00000000000011,8
0,98.00000000000011,set(),2,102.3253968253969,"{1, 14}","{1, 14}",102.3253968253969,8
1,105.77777777777789,{18},1,100.4583333333335,{14},"{18, 14}",108.09722222222237,8
2,216.88888888888926,"{18, 5}",0,98.00000000000011,set(),"{18, 5}",216.88888888888926,8
0,98.00000000000011,set(),4,108.2261904761905,"{1, 23, 14, 25}","{1, 23, 14, 25}",108.2261904761905,8
1,105.77777777777789,{18},3,104.96428571428571,"{1, 14, 25}","{1, 18, 14, 25}",112.46031746031747,8
2,216.88888888888926,"{18, 5}",2,102.3253968253969,"{1, 14}","{1, 18, 5, 14}",218.15674603174622,8
3,222.4444444444448,"{18, 3, 5}",1,100.4583333333335,{14},"{18, 3, 5, 14}",222.61111111111146,8
4,282.55555555555566,"{9, 18, 3, 5}",0,98.00000000000011,set(),"{9, 18, 3, 5}",282.55555555555566,8
0,98.00000000000011,set(),6,114.10515873015873,"{1, 14, 15, 22, 23, 25}","{1, 22, 23, 25, 14, 15}",114.10515873015873,8
1,105.77777777777789,{18},5,112.46428571428575,"{1, 14, 22, 23, 25}","{1, 18, 22, 23, 25, 14}",119.55952380952387,8
2,216.88888888888926,"{18, 5}",4,108.2261904761905,"{1, 23, 14, 25}","{1, 18, 5, 23, 25, 14}",219.5595238095239,8
3,222.4444444444448,"{18, 3, 5}",3,104.96428571428571,"{1, 14, 25}","{1, 18, 3, 5, 25, 14}",224.2876984126985,8
4,282.55555555555566,"{9, 18, 3, 5}",2,102.3253968253969,"{1, 14}","{1, 18, 3, 5, 9, 14}",282.7361111111112,8
5,304.5555555555556,"{3, 5, 8, 9, 18}",1,100.4583333333335,{14},"{18, 3, 5, 8, 9, 14}",304.5555555555556,8
6,309.44444444444446,"{3, 5, 8, 9, 18, 31}",0,98.00000000000011,set(),"{18, 3, 5, 8, 9, 31}",309.44444444444446,8
0,96.99999999999999,set(),0,96.99999999999999,set(),set(),96.99999999999999,9
0,96.99999999999999,set(),2,101.70277777777785,"{1, 14}","{1, 14}",101.70277777777785,9
1,104.79999999999998,{18},1,99.66666666666657,{14},"{18, 14}",107.35555555555544,9
2,226.9999999999998,"{18, 5}",0,96.99999999999999,set(),"{18, 5}",226.9999999999998,9
0,96.99999999999999,set(),4,107.42619047619053,"{1, 23, 14, 25}","{1, 23, 14, 25}",107.42619047619053,9
1,104.79999999999998,{18},3,104.11388888888897,"{1, 14, 25}","{1, 18, 14, 25}",111.65277777777786,9
2,226.9999999999998,"{18, 5}",2,101.70277777777785,"{1, 14}","{1, 18, 5, 14}",228.06944444444463,9
3,232.7999999999998,"{18, 3, 5}",1,99.66666666666657,{14},"{18, 3, 5, 14}",232.92222222222205,9
4,287.00000000000006,"{9, 18, 3, 5}",0,96.99999999999999,set(),"{9, 18, 3, 5}",287.00000000000006,9
0,96.99999999999999,set(),6,113.4654761904762,"{1, 14, 15, 22, 23, 25}","{1, 22, 23, 25, 14, 15}",113.4654761904762,9
1,104.79999999999998,{18},5,111.81706349206348,"{1, 14, 22, 23, 25}","{1, 18, 22, 23, 25, 14}",118.92857142857139,9
2,226.9999999999998,"{18, 5}",4,107.42619047619053,"{1, 23, 14, 25}","{1, 18, 5, 23, 25, 14}",229.05555555555569,9
3,232.7999999999998,"{18, 3, 5}",3,104.11388888888897,"{1, 14, 25}","{1, 18, 3, 5, 25, 14}",234.26666666666685,9
4,287.00000000000006,"{9, 18, 3, 5}",2,101.70277777777785,"{1, 14}","{1, 18, 3, 5, 9, 14}",287.1333333333333,9
5,309.6,"{3, 5, 8, 9, 18}",1,99.66666666666657,{14},"{18, 3, 5, 8, 9, 14}",309.6,9
6,314.59999999999997,"{3, 5, 8, 9, 18, 31}",0,96.99999999999999,set(),"{18, 3, 5, 8, 9, 31}",314.59999999999997,9
